GenAge ID,name,symbol,organism,functions,Entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence,observations
920,EGg Laying defective   ,egl-8,Caenorhabditis elegans,,178537,83,Increase,Anti-Longevity,anti;38.0;;916;19043554|anti;38.0;;916;19043554
921,EGg Laying defective,egl-9,Caenorhabditis elegans,,179461,20,Increase,Anti-Longevity,anti;83.0;;917;19043554
922,Enhanced RNAI (RNA interference) ,eri-1,Caenorhabditis elegans,,176868,43,Decrease,Pro-Longevity,anti;20.0;30.0;918;19372390
923,ETS class transcription factor,ets-4,Caenorhabditis elegans,,180927,40,Increase,Anti-Longevity,pro;43.0;;919;18006689
924,EXOnuclease,exo-3,Caenorhabditis elegans,,173069,20,Decrease,Pro-Longevity,anti;40.0;;920;20862312
925,hypothetical protein,CELE_F11A3.2,Caenorhabditis elegans,,179331,14,Increase,Anti-Longevity,pro;20.0;10.0;921;20346071
926,hypothetical protein,F11G11.13,Caenorhabditis elegans,,184367,20,Increase,Anti-Longevity,anti;14.0;;922;18728216
927,hypothetical protein,F15B9.6,Caenorhabditis elegans,,184523,17,Increase,Anti-Longevity,anti;20.0;;923;18006689
928,hypothetical protein,F15D3.8,Caenorhabditis elegans,,184528,10,Increase,Anti-Longevity,anti;17.0;;924;19575768
929,hypothetical protein,ent-5,Caenorhabditis elegans,,184599,20,Increase,Anti-Longevity,anti;10.0;;925;19575768
930,hypothetical protein,F22D3.5,Caenorhabditis elegans,,184826,10,Increase,Anti-Longevity,anti;20.0;;926;19764929
931,hypothetical protein,CELE_F23F12.3,Caenorhabditis elegans,,175926,15,Increase,Anti-Longevity,anti;10.0;;927;18006689
932,hypothetical protein,F25B3.5,Caenorhabditis elegans,,184916,20,Increase,Anti-Longevity,anti;15.0;;928;19575768
933,hypothetical protein,grld-1,Caenorhabditis elegans,,176827,10,Increase,Anti-Longevity,anti;20.0;;929;19575768
934,hypothetical protein,F36A2.7,Caenorhabditis elegans,,172692,80,Increase,Anti-Longevity,anti;10.0;;930;18006689
935,hypothetical protein,F45H10.2,Caenorhabditis elegans,,174992,40,Increase,Anti-Longevity,anti;80.0;;931;18006689
936,hypothetical protein,CELE_F53H1.3,Caenorhabditis elegans,,176945,30,Increase,Anti-Longevity,anti;40.0;;932;20688098
937,F56H1.7,F56H1.7,Caenorhabditis elegans,,6418597,25,Decrease,Pro-Longevity,anti;30.0;;933;19764929
938,hypothetical protein,F58F9.7,Caenorhabditis elegans,,177386,15,Increase,Anti-Longevity,pro;25.0;33.0;934;21156009
939,hypothetical protein,slcf-1,Caenorhabditis elegans,,186633,40,Increase,Anti-Longevity,anti;15.0;;935;19575768
940,F-box A protein,fbxa-188,Caenorhabditis elegans,,185954,13,Increase,Anti-Longevity,anti;40.0;;936;21040400
941,FiZzY (CDC20 protein family) homolog,fzy-1,Caenorhabditis elegans,,266859,25,Increase,Anti-Longevity,anti;13.0;;937;19575768
942,"G protein,O, Alpha subunit",goa-1,Caenorhabditis elegans,,172505,33,Decrease,Pro-Longevity,anti;25.0;;938;18059442
943,"G protein, Subunit Alpha",gsa-1,Caenorhabditis elegans,,171687,84,Decrease,Pro-Longevity,pro;33.0;;939;19043554
944,hypothetical protein,hpa-1,Caenorhabditis elegans,,186781,30,Increase,Anti-Longevity,pro;84.0;;940;18059442
945,human HCF1 related,hcf-1,Caenorhabditis elegans,,177560,40,Increase,Anti-Longevity,anti;30.0;;941;20497132
946,hypothetical protein,hpa-2,Caenorhabditis elegans,,188415,15,Increase,Anti-Longevity,anti;40.0;;942;18828672
947,Homolog of Yeast Longevity gene,hyl-1,Caenorhabditis elegans,,177660,10,Decrease,Pro-Longevity,anti;15.0;;943;20497132
948,IRE1 kinase related,ire-1,Caenorhabditis elegans,,174305,20,Decrease,Pro-Longevity,pro;10.0;;944;19424872
949,Inositol Triphosphate Receptor,itr-1,Caenorhabditis elegans,,177546,53,Increase,Pro-Longevity,pro;20.0;;945;20460307
950,3-Ketoacyl-coA Thiolase,kat-1,Caenorhabditis elegans,,174161,30,Decrease,Pro-Longevity,pro;53.0;29.0;946;20497132
951,LAG1 (yeast Longevity-Assurance Gene) Related ,lagr-1,Caenorhabditis elegans,,189370,10,Decrease,Pro-Longevity,pro;30.0;;947;20956318
953,LEThal ,let-23,Caenorhabditis elegans,,174462,,Increase and Decrease,Pro-Longevity,pro;10.0;;948;19424872|pro;10.0;;948;19424872
954,LEThal,let-502,Caenorhabditis elegans,,172088,30,Decrease,Pro-Longevity,pro;19.0;8.0;950;20497132
955,"LC3, GABARAP and GATE-16 family",lgg-1,Caenorhabditis elegans,,174050,43,Decrease,Pro-Longevity,pro;30.0;;951;19764929|pro;30.0;;951;19764929
956,abnormal cell LINeage,lin-15B,Caenorhabditis elegans,,181662,42,Decrease,Pro-Longevity,pro;43.0;;952;18219227
957,abnormal cell LINeage,lin-3,Caenorhabditis elegans,,178001,,Decrease,Pro-Longevity,pro;42.0;;953;18006689
958,LYSozyme,lys-10,Caenorhabditis elegans,,184622,20,Increase,Anti-Longevity,pro;;;954;20497132
959,LYSozyme,lys-6,Caenorhabditis elegans,,178087,13,Increase,Anti-Longevity,anti;20.0;;955;18006689
960,Motor AXon guidance,max-2,Caenorhabditis elegans,,3565400,25,Increase,Anti-Longevity,anti;13.0;;956;19575768
961,MAP Kinase,mpk-1,Caenorhabditis elegans,,175545,11,Decrease,Pro-Longevity,anti;25.0;;957;18059442
962,Multiple PDZ domain protein,mpz-1,Caenorhabditis elegans,,174657,31,Increase,Anti-Longevity,pro;11.0;;958;18059442
963,MTM (myotubularin) famil,mtm-3,Caenorhabditis elegans,,175490,,Decrease,Pro-Longevity,anti;31.0;;959;20207731
964,Nuclear Cap-Binding Protein,ncbp-2,Caenorhabditis elegans,,184953,24,Decrease,Pro-Longevity,pro;;40.0;960;18393358
965,Neuropeptide-like protein genes family,nlp-7,Caenorhabditis elegans,,184647,10,Decrease,Pro-Longevity,pro;24.0;;961;18059442
966,NUclear localized Metal Responsive,numr-1,Caenorhabditis elegans,,176048,,Increase,Pro-Longevity,pro;10.0;;962;19627265
967,NUclear localized Metal Responsive,numr-2,Caenorhabditis elegans,,176049,,Increase,Pro-Longevity,pro;;;963;20501697
968,Osm-9 and Capsaicin receptor-Related,ocr-2,Caenorhabditis elegans,,188314,,Increase,Anti-Longevity,pro;;;964;20501697
969,Protein Carboxymethyltransferase,pcm-1,Caenorhabditis elegans,,178981,30,Increase,Pro-Longevity,anti;;30.0;965;18846209
970,mitochondrial ProHiBitin complex,phb-1,Caenorhabditis elegans,,171768,,Decrease,Pro-Longevity,pro;30.0;;966;18772467
971,mitochondrial ProHiBitin complex,phb-2,Caenorhabditis elegans,,174034,,Decrease,Pro-Longevity,pro;;;967;19812672
972,hypothetical protein,CELE_R03D7.4,Caenorhabditis elegans,,174683,13,Increase,Anti-Longevity,pro;;;968;19812672
973,hypothetical protein,R07E4.3,Caenorhabditis elegans,,180862,20,Increase,Anti-Longevity,anti;13.0;;969;18059442
974,hypothetical protein,R12E2.2,Caenorhabditis elegans,,172011,50,Increase,Anti-Longevity,anti;20.0;;970;20688098
975,RAB family ,rab-5,Caenorhabditis elegans,,172755,50,Decrease,Pro-Longevity,anti;50.0;;971;18006689|anti;50.0;;971;18006689
976,RB (Retinoblastoma Binding protein) Related,rbr-2,Caenorhabditis elegans,,177985,25,Decrease,Pro-Longevity,pro;50.0;;972;19627265
977,SET (trithorax/polycomb) domain containing,set-2,Caenorhabditis elegans,,175662,30,Increase,Anti-Longevity,pro;25.0;;973;20555324|pro;25.0;;973;20555324
978,SET (trithorax/polycomb) domain containing,set-4,Caenorhabditis elegans,,174045,20,Increase,Anti-Longevity,anti;20.0;;974;20555324
979,SET (trithorax/polycomb) domain containing,set-6,Caenorhabditis elegans,,181371,10,Decrease,Pro-Longevity,anti;20.0;;975;20555324
980,"Src Homology domain C-terminal, adaptor homolog",shc-1,Caenorhabditis elegans,,3565745,38,Decrease,Pro-Longevity,pro;10.0;;976;20555324
981,SKp1 Related (ubiquitin ligase complex component),skr-5,Caenorhabditis elegans,,180148,10,Increase,Anti-Longevity,pro;38.0;;977;18832074
982,hypothetical protein,sma-10,Caenorhabditis elegans,,176849,30,Increase,Anti-Longevity,anti;10.0;;978;19575768
983,Suppressor with Morphological effect on Genitalia,smg-1,Caenorhabditis elegans,,172418,30,Increase,Anti-Longevity,anti;30.0;;979;18006689
984,superoxide dismutase,sod-1,Caenorhabditis elegans,,174141,,Increase,Anti-Longevity,anti;30.0;;980;18836529
985,Superoxide dismutase (24.5 kD) (sod-2),sod-2,Caenorhabditis elegans,,172632,44,Increase,Unclear,anti;;;981;18073424|anti;;;981;18073424
986,SaPosin-like Protein family,spp-17,Caenorhabditis elegans,,171681,20,Increase,Anti-Longevity,pro;44.0;;982;10968795
987,Specificity Protein) Transcription Factor,sptf-3,Caenorhabditis elegans,,189783,24,Decrease,Pro-Longevity,anti;20.0;;983;19575768|anti;20.0;;983;19575768
988,"Serpentine Receptor, class T",srt-56,Caenorhabditis elegans,,190663,30,Increase,Anti-Longevity,pro;24.0;;984;18059442
989,hypothetical protein,T12E12.1,Caenorhabditis elegans,,177339,30,Increase,Anti-Longevity,anti;30.0;;985;18006689
990,hypothetical protein,T27E9.2,Caenorhabditis elegans,,176772,20,Increase,Anti-Longevity,anti;30.0;;986;19764929
991,TATA-Binding Protein,tbp-1,Caenorhabditis elegans,,176054,21,Decrease,Pro-Longevity,anti;20.0;;987;20688098
992,K02G10.3,tmem-135,Caenorhabditis elegans,,180740,,Decrease,Unannotated,pro;21.0;;988;18059442
993,TOMosyn synaptic protein,tom-1,Caenorhabditis elegans,,172209,33,Decrease,Pro-Longevity,;;;989;21151927
994,abnormal ThermoTaXis,ttx-3,Caenorhabditis elegans,,181357,10,Decrease,Pro-Longevity,pro;33.0;;990;19043554
995,Ubiquinol-Cytochrome c oxidoReductase complex,ucr-2.3,Caenorhabditis elegans,,175248,15,Increase,Anti-Longevity,pro;10.0;;991;21055415
996,UNCoordinated,unc-51,Caenorhabditis elegans,,180311,,Increase and Decrease,Unclear,anti;15.0;;992;20688098|anti;15.0;;992;20688098
997,Variable ABnormal morphology,vab-1,Caenorhabditis elegans,,173794,20,Increase,Pro-Longevity,pro;20.0;;993;18219227
998,von Hippel-Lindau tumor suppressor homolog,vhl-1,Caenorhabditis elegans,,181321,30,Increase,Anti-Longevity,pro;20.0;;994;19853560|pro;20.0;;994;19853560
999,hypothetical protein,W03G1.8,Caenorhabditis elegans,,189168,20,Increase,Anti-Longevity,anti;30.0;;995;19372390
1000,Temporarily Assigned Gene name,wdr-5.1,Caenorhabditis elegans,,175474,30,Increase,Anti-Longevity,anti;20.0;;996;18006689|anti;20.0;;996;18006689
1001,hypothetical protein,crtc-1,Caenorhabditis elegans,,259368,53,Increase,Anti-Longevity,anti;30.0;;997;20555324
1002,hypothetical protein,CELE_Y39B6A.3,Caenorhabditis elegans,,180262,50,Increase,Anti-Longevity,anti;53.0;;998;21331044
1003,hypothetical protein,CELE_Y41C4A.11,Caenorhabditis elegans,,189814,13,Increase,Anti-Longevity,anti;50.0;;999;18006689
1004,hypothetical protein,Y43C5A.3,Caenorhabditis elegans,,189848,20,Increase,Anti-Longevity,anti;13.0;;1000;19575768
1005,hypothetical protein,CELE_Y46G5A.20,Caenorhabditis elegans,,174915,15,Increase,Anti-Longevity,anti;20.0;;1001;19575768
1006,hypothetical protein,Y47D3A.29,Caenorhabditis elegans,,176544,22,Decrease,Pro-Longevity,anti;15.0;;1002;19575768
1007,hypothetical protein,CELE_Y47H9C.1,Caenorhabditis elegans,,173061,10,Increase,Anti-Longevity,pro;22.0;;1003;18059442
1008,hypothetical protein,CELE_Y52B11A.9,Caenorhabditis elegans,,173005,20,Decrease,Pro-Longevity,anti;10.0;;1004;19575768
1009,hypothetical protein,Y71H2AM.5,Caenorhabditis elegans,,3565081,40,Increase,Anti-Longevity,pro;20.0;;1005;20460307
1010,ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase),Parp1,Mus musculus,,11545,25,Decrease,Pro-Longevity,anti;40.0;;1006;20688098
1011,"Sirtuin 1 ((silent mating type information regulation 2, homolog) 1 (S. cerevisiae)  ",Sirt1,Mus musculus,,93759,,Increase and Decrease,Pro-Longevity,pro;25.0;;1023;20561897|pro;25.0;;1023;20561897|pro;25.0;;1023;20561897|pro;25.0;;1023;20561897
1012,Phosphatase and tensin homolog,Pten,Mus musculus,,19211,,Increase and Decrease,Pro-Longevity,pro;;;1024;12960381|pro;;;1024;12960381
1013,Heat shock 70kDa protein 1A,Hsp70Ba,Drosophila melanogaster,,44921,,Increase and Decrease,Unclear,pro;;;1051;17400585|pro;;;1051;17400585
1015,Pyrazinamidase and NiCotinamidase,PNC1,Saccharomyces cerevisiae,,852846,,Increase and Decrease,Pro-Longevity,anti;30.0;30.0;1053;19420297|anti;30.0;30.0;1053;19420297|anti;30.0;30.0;1053;19420297
1016,Alpha1-proteinase inhibitor-Degradation Deficient,ADD37,Saccharomyces cerevisiae,,855222,,Decrease,Unannotated,pro;70.0;;1186;12736687|pro;70.0;;1186;12736687
1017,Alpha1-proteinase inhibitor-Degradation Deficient,ADD66,Saccharomyces cerevisiae,,853629,,Decrease,Unannotated,fitness;;;1187;20657825
1018,ADEnine requiring,ADE3,Saccharomyces cerevisiae,,853118,,Increase and Decrease,Anti-Longevity,fitness;;;1188;20657825|fitness;;;1188;20657825
1019,Alcohol DeHydrogenase,ADH2,Saccharomyces cerevisiae,,855349,,Decrease,Unannotated,fitness;;;1189;20657825
1020,ATPase ExPression,AEP1,Saccharomyces cerevisiae,,855086,,Increase and Decrease,Anti-Longevity,fitness;;;1190;20657825|fitness;;;1190;20657825|fitness;;;1190;20657825
1021,Altered Inheritance rate of Mitochondria,AIM24,Saccharomyces cerevisiae,,853543,,Decrease,Unannotated,fitness;;;1191;20657825
1022,Antagonist of Mitotic exit Network,AMN1,Saccharomyces cerevisiae,,852455,,Decrease,Unannotated,fitness;;;1192;20657825
1023,ARGinine requiring,ARG2,Saccharomyces cerevisiae,,853374,,Decrease,Unannotated,fitness;;;1193;20657825
1024,AROmatic amino acid requiring,ARO7,Saccharomyces cerevisiae,,856173,,Decrease,Unannotated,fitness;;;1194;20657825
1025,Activator of Stress Genes,ASG1,Saccharomyces cerevisiae,,854676,,Decrease,Unannotated,fitness;;;1195;20657825
1026,AuTophaGy related,ATG15,Saccharomyces cerevisiae,,850432,40,Decrease,Unannotated,fitness;;;1196;20657825|fitness;;;1196;20657825
1027,AuTophaGy related,ATG21,Saccharomyces cerevisiae,,856004,,Decrease,Unannotated,fitness;;;1197;20657825
1028,Acid TreHalase,ATH1,Saccharomyces cerevisiae,,856137,,Decrease,Unannotated,fitness;;;1198;20657825
1029,Amino acid Vacuolar Transport,AVT1,Saccharomyces cerevisiae,,853457,,Decrease,Unannotated,fitness;;;1199;20657825
1030,Branched-chain Amino acid Permease,BAP2,Saccharomyces cerevisiae,,852360,,Decrease,Unannotated,fitness;;;1200;20657825
1031,Bypass of C Kinase,BCK1,Saccharomyces cerevisiae,,853350,,Decrease,Unannotated,fitness;;;1201;20657825|fitness;;;1201;20657825
1032,ubiquinol-cytochrome c reductase (bc1) Synthesis,BCS1,Saccharomyces cerevisiae,,851981,,Decrease,Unannotated,fitness;;;1202;20657825
1033,Brain Modulosignalin Homologue,BMH1,Saccharomyces cerevisiae,,856924,,Increase and Decrease,Unclear,fitness;;;1203;20657825|fitness;;;1203;20657825|fitness;;;1203;20657825
1034,Caj1p,CAJ1,Saccharomyces cerevisiae,,856772,,Decrease,Unannotated,fitness;;;1204;20657825
1035,Cytochrome B mRNA Processing,CBP4,Saccharomyces cerevisiae,,853085,,Decrease,Unannotated,fitness;;;1205;
1036,CITrate synthase,CIT1,Saccharomyces cerevisiae,,855732,,Decrease,Unannotated,fitness;;;1206;20657825
1037,CycLin B,CLB2,Saccharomyces cerevisiae,,856236,50,Decrease,Unannotated,fitness;;;1207;20657825|fitness;;;1207;20657825
1038,Cyclin-Like Gene,CLG1,Saccharomyces cerevisiae,,852657,,Decrease,Unannotated,fitness;;;1208;20657825
1039,COenzyme Q,COQ1,Saccharomyces cerevisiae,,852288,,Decrease,Unannotated,fitness;;;1209;20657825
1040,COenzyme Q,COQ3,Saccharomyces cerevisiae,,854057,,Decrease,Unannotated,fitness;;;1210;20657825
1041,COenzyme Q,COQ5,Saccharomyces cerevisiae,,854930,,Decrease,Unannotated,fitness;;;1211;20657825|fitness;;;1211;20657825
1042,Cytochrome c OXidase,COX11,Saccharomyces cerevisiae,,855971,,Decrease,Unannotated,fitness;;;1212;20657825
1043,CarboxyPeptidase yscS,CPS1,Saccharomyces cerevisiae,,853267,,Decrease,Unannotated,fitness;;;1213;20657825
1044,Calcofluor White Hypersensitive,CWH43,Saccharomyces cerevisiae,,850376,,Decrease,Unannotated,fitness;;;1214;20657825|fitness;;;1214;20657825
1045,CYtochrome C,CYC1,Saccharomyces cerevisiae,,853507,60,Decrease,Unannotated,fitness;;;1215;20657825|fitness;;;1215;20657825|fitness;;;1215;20657825
1046,CYtochrome C,CYC2,Saccharomyces cerevisiae,,854202,,Decrease,Unannotated,fitness;;;1216;20657825
1047,cytochrome c1 heme lyase CYT2,CYT2,Saccharomyces cerevisiae,,853775,25,Decrease,Unannotated,fitness;;;1217;20657825|fitness;;;1217;20657825|fitness;;;1217;20657825
1048,Defective in Cullin Neddylation,DCN1,Saccharomyces cerevisiae,,850819,,Decrease,Unannotated,fitness;;;1218;
1049,2-Deoxy-Glucose Resistant 2,DGR2,Saccharomyces cerevisiae,,853738,,Decrease,Unannotated,fitness;;;1219;20657825
1050,DiPHthamide biosynthesis,DPH1,Saccharomyces cerevisiae,,854703,,Decrease,Unannotated,fitness;;;1220;20657825
1051,DYNein,DYN2,Saccharomyces cerevisiae,,852034,,Decrease,Unannotated,fitness;;;1221;20657825
1052,Elongation Factor Two,EFT2,Saccharomyces cerevisiae,,851993,,Decrease,Unannotated,fitness;;;1222;20657825
1053,Enhancer of Gal4 DNA binding,EGD1,Saccharomyces cerevisiae,,856070,,Decrease,Unannotated,fitness;;;1223;20657825
1054,Early Meiotic Induction,EMI1,Saccharomyces cerevisiae,,852125,,Increase and Decrease,Anti-Longevity,fitness;;;1224;20657825|fitness;;;1224;20657825
1055,Few Lipid Droplets,FLD1,Saccharomyces cerevisiae,,851120,,Decrease,Unannotated,fitness;;;1225;20657825
1056,Formyl-Methionyl-tRNA Transformylase,FMT1,Saccharomyces cerevisiae,,852270,,Decrease,Unannotated,fitness;;;1226;20657825
1057,GALactose metabolism,GAL80,Saccharomyces cerevisiae,,854954,,Decrease,Unannotated,fitness;;;1227;20657825
1058,General Control Nonderepressible,GCN4,Saccharomyces cerevisiae,,856709,,Increase and Decrease,Anti-Longevity,fitness;;;1228;20657825|fitness;;;1228;20657825|fitness;;;1228;20657825
1059,Glutamate DeHydrogenase,GDH3,Saccharomyces cerevisiae,,851237,,Decrease,Unannotated,fitness;;;1229;20657825
1060,Great for Full DEAD box protein activity,GFD2,Saccharomyces cerevisiae,,850321,,Decrease,Unannotated,fitness;;;1230;20657825
1061,Glucose Induced Degradation deficient,GID7,Saccharomyces cerevisiae,,850318,,Decrease,Unannotated,fitness;;;1231;20657825
1062,Glucose Induced Degradation deficient,GID8,Saccharomyces cerevisiae,,855166,,Decrease,Unannotated,fitness;;;1232;20657825|fitness;;;1232;20657825
1063,Gpb1p,GPB1,Saccharomyces cerevisiae,,854553,,Decrease,Unannotated,fitness;;;1233;20657825
1064,Glycerol-3-Phosphate acylTransferase,GPT2,Saccharomyces cerevisiae,,853941,,Decrease,Unannotated,fitness;;;1234;
1065,TRapp Subunit,TRS85,Saccharomyces cerevisiae,,851686,,Decrease,Unannotated,fitness;;;1235;20657825|fitness;;;1235;20657825
1066,Gtpase-activating protein for YPt1p,GYP1,Saccharomyces cerevisiae,,854236,,Decrease,Unannotated,fitness;;;1236;20657825
1067,acetyl-CoA carboxylase HFA1,HFA1,Saccharomyces cerevisiae,,855247,,Decrease,Unannotated,fitness;;;1237;20657825
1068,HIstone Regulation,HIR1,Saccharomyces cerevisiae,,852275,,Increase and Decrease,Anti-Longevity,fitness;;;1238;|fitness;;;1238;
1069,HIstone Regulation,HIR2,Saccharomyces cerevisiae,,854203,,Increase and Decrease,Anti-Longevity,fitness;;;1239;20657825|fitness;;;1239;20657825
1070,HIstone Regulation,HIR3,Saccharomyces cerevisiae,,853605,,Increase and Decrease,Anti-Longevity,fitness;;;1240;20657825|fitness;;;1240;20657825
1071,HIStidine requiring,HIS7,Saccharomyces cerevisiae,,852550,,Decrease,Unannotated,fitness;;;1241;20657825
1072,Histidine triad NucleoTide-binding,HNT3,Saccharomyces cerevisiae,,854432,,Decrease,Unannotated,fitness;;;1242;20657825
1073,"Has Symptoms of class E mutants; resembles Hbp, Stam and East",HSE1,Saccharomyces cerevisiae,,856387,,Increase and Decrease,Anti-Longevity,fitness;;;1243;20657825|fitness;;;1243;20657825|fitness;;;1243;20657825
1074,Homolog of SIR Two (SIR2),HST1,Saccharomyces cerevisiae,,854086,,Decrease,Unannotated,fitness;;;1244;20657825
1075,IsoCitrate Lyase,ICL1,Saccharomyces cerevisiae,,856794,,Decrease,Unannotated,fitness;;;1245;20657825
1076,Implicated in Zinc Homeostasis,IZH3,Saccharomyces cerevisiae,,850710,,Decrease,Unannotated,fitness;;;1246;20657825
1077,Just Nuclear Migration,JNM1,Saccharomyces cerevisiae,,855339,,Decrease,Unannotated,fitness;;;1247;20657825
1078,alpha-KetoGlutarate Dehydrogenase,KGD1,Saccharomyces cerevisiae,,854681,50,Decrease,Unannotated,fitness;;;1248;20657825|fitness;;;1248;20657825
1079,Low Dye Binding,LDB16,Saccharomyces cerevisiae,,850351,,Decrease,Unannotated,fitness;;;1249;20657825
1080,Low Dye Binding,LDB19,Saccharomyces cerevisiae,,854500,,Decrease,Unannotated,fitness;;;1250;20657825
1081,LIPoyl ligase,LIP2,Saccharomyces cerevisiae,,850940,,Decrease,Unannotated,fitness;;;1251;20657825
1082,Loss Of Suppression,LOS1,Saccharomyces cerevisiae,,853630,,Decrease,Unannotated,fitness;;;1252;20657825
1083,LYSine requiring,LYS1,Saccharomyces cerevisiae,,854852,,Decrease,Unannotated,fitness;;;1253;20657825
1084,MAintenance of Killer,MAK10,Saccharomyces cerevisiae,,856657,,Decrease,Unannotated,fitness;;;1254;20657825|fitness;;;1254;20657825
1085,MAintenance of Killer,MAK3,Saccharomyces cerevisiae,,856163,,Decrease,Unannotated,fitness;;;1255;20657825
1086,MALtose fermentation,MAL33,Saccharomyces cerevisiae,,852600,,Decrease,Unannotated,fitness;;;1256;20657825
1087,Multi-copy Bypass of AFG3,MBA1,Saccharomyces cerevisiae,,852483,,Increase and Decrease,Anti-Longevity,fitness;;;1257;20657825|fitness;;;1257;20657825
1088,MEDiator complex,MED1,Saccharomyces cerevisiae,,856183,,Decrease,Unannotated,fitness;;;1258;20657825
1089,METhionine requiring,MET2,Saccharomyces cerevisiae,,855444,,Decrease,Unannotated,fitness;;;1259;20657825
1090,METhionine requiring,MET6,Saccharomyces cerevisiae,,856825,,Decrease,Unannotated,fitness;;;1260;20657825
1091,MAP-Homologous Protein,MHP1,Saccharomyces cerevisiae,,853408,,Decrease,Unannotated,fitness;;;1261;20657825
1092,Mitogen-activated protein Kinase-Kinase,MKK1,Saccharomyces cerevisiae,,854406,,Decrease,Unannotated,fitness;;;1262;20657825
1093,Multicopy Kinase Suppressor,MKS1,Saccharomyces cerevisiae,,855648,,Decrease,Unannotated,fitness;;;1263;20657825
1094,Moh1p,MOH1,Saccharomyces cerevisiae,,852231,,Decrease,Unannotated,fitness;;;1264;20657825
1095,Mitochondrial RNA Helicase,MRH4,Saccharomyces cerevisiae,,852816,,Decrease,Unannotated,fitness;;;1265;|fitness;;;1265;
1096,Mitochondrial Ribosomal Protein,MRP2,Saccharomyces cerevisiae,,856295,,Decrease,Unannotated,fitness;;;1266;20657825
1097,"Mitochondrial Ribosomal Protein, Large subunit",MRPL17,Saccharomyces cerevisiae,,855469,,Decrease,Unannotated,fitness;;;1267;20657825
1098,"Mitochondrial Ribosomal Protein, Large subunit",MRPL20,Saccharomyces cerevisiae,,853960,,Decrease,Unannotated,fitness;;;1268;20657825
1099,"Mitochondrial Ribosomal Protein, Large subunit",MRPL38,Saccharomyces cerevisiae,,853684,,Decrease,Unannotated,fitness;;;1269;20657825|fitness;;;1269;20657825
1100,"Mitochondrial Ribosomal Protein, Large subunit",MRPL9,Saccharomyces cerevisiae,,853135,,Decrease,Unannotated,fitness;;;1270;20657825
1101,"Mitochondrial Ribosomal Protein, Small subunit",MRPS16,Saccharomyces cerevisiae,,856094,,Decrease,Unannotated,fitness;;;1271;20657825
1102,Mitochondrial Splicing System,MSS116,Saccharomyces cerevisiae,,851775,,Decrease,Unannotated,fitness;;;1272;20657825|fitness;;;1272;20657825
1103,Mitochondrial Splicing System,MSS18,Saccharomyces cerevisiae,,856253,,Decrease,Unannotated,fitness;;;1273;20657825
1104,"Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)",MSW1,Saccharomyces cerevisiae,,851861,,Increase and Decrease,Anti-Longevity,fitness;;;1274;20657825|fitness;;;1274;20657825|fitness;;;1274;20657825
1105,Maintenance of Telomere Capping,MTC1,Saccharomyces cerevisiae,,853319,,Decrease,Unannotated,fitness;;;1275;20657825
1106,Mitochondrial Translation Optimization,MTO1,Saccharomyces cerevisiae,,852616,,Decrease,Unannotated,fitness;;;1276;20657825
1107,Nuclear ImPort,NIP100,Saccharomyces cerevisiae,,855929,,Decrease,Unannotated,fitness;;;1277;20657825
1108,OverProducer of Inositol,OPI3,Saccharomyces cerevisiae,,853536,,Decrease,Unannotated,fitness;;;1278;20657825
1109,OxySterol binding protein Homolog,OSH2,Saccharomyces cerevisiae,,851543,,Decrease,Unannotated,fitness;;;1279;20657825
1110,PolyAmine Acetyltransferase,PAA1,Saccharomyces cerevisiae,,851643,,Decrease,Unannotated,fitness;;;1280;20657825|fitness;;;1280;20657825
1111,seriPAUperin family,PAU2,Saccharomyces cerevisiae,,856662,,Decrease,Unannotated,fitness;;;1281;20657825
1112,P-type Cation-transporting ATPase,PCA1,Saccharomyces cerevisiae,,852598,,Decrease,Unannotated,fitness;;;1282;20657825
1113,Pho85 CycLin,PCL6,Saccharomyces cerevisiae,,856787,,Decrease,Unannotated,fitness;;;1283;20657825
1114,Processing of Cytochrome c Peroxidase,PCP1,Saccharomyces cerevisiae,,852993,,Decrease,Unannotated,fitness;;;1284;20657825
1115,Pyruvate DeCarboxylase,PDC1,Saccharomyces cerevisiae,,850733,,Decrease,Unannotated,fitness;;;1285;20657825
1116,PhosphoDiEsterase,PDE2,Saccharomyces cerevisiae,,854542,,Decrease,Unannotated,fitness;;;1286;20657825|fitness;;;1286;20657825
1117,PETite colonies,PET111,Saccharomyces cerevisiae,,855299,,Decrease,Unannotated,fitness;;;1287;20657825
1118,PETite colonies,PET112,Saccharomyces cerevisiae,,852198,,Decrease,Unannotated,fitness;;;1288;20657825|fitness;;;1288;20657825
1119,PEroXin,PEX5,Saccharomyces cerevisiae,,851831,,Decrease,Unannotated,fitness;;;1289;20657825
1120,PEroXin,PEX6,Saccharomyces cerevisiae,,855387,,Decrease,Unannotated,fitness;;;1290;20657825
1121,Plasma Membrane Proteolipid,PMP1,Saccharomyces cerevisiae,,850389,,Decrease,Unannotated,fitness;;;1291;20657825
1122,Plasma Membrane Proteolipid,PMP3,Saccharomyces cerevisiae,,851869,,Decrease,Unannotated,fitness;;;1292;20657825
